index,FP,Carregamento,valorFusivel,tipoCurto,I_A_Isolador,I_B_Isolador,I_C_Isolador,I_A1_Isolador,I_B1_Isolador,I_C1_Isolador,I_A_Consumidor,I_B_Consumidor,I_C_Consumidor
48,0.6,1,10,3,42.7398,66.0452,24.4506,12.7421,62.6618,51.9387,12.7315,7.54758,5.63499
49,0.6,1,10,4,72.4789,26.6728,46.542,68.6228,57.0469,12.9357,6.46352,6.46229,12.9258
50,0.6,1,10,5,12.9322,12.9333,12.9321,12.9318,12.933,12.9329,12.9253,12.9265,12.9263
51,0.6,1,11,1,79.8954,68.676,76.0714,80.8782,73.9649,69.8169,2.0182,2.01795,4.03615
52,0.6,1,11,2,25.4301,48.8713,72.1181,55.6985,17.0214,69.5992,7.70398,17.0127,9.98446
53,0.6,1,11,3,48.0343,71.8872,26.1811,16.5098,68.9557,55.9735,16.4994,9.80295,7.47496
54,0.6,1,11,4,79.8954,28.5941,52.8713,76.4628,62.1996,16.7603,8.37613,8.37456,16.7507
55,0.6,1,11,5,16.7567,16.7585,16.7564,16.756,16.7581,16.7577,16.7496,16.7517,16.7513
56,0.6,1,12,1,82.6312,70.7682,78.3917,83.5427,76.4347,71.8305,2.3173,2.31703,4.63433
57,0.6,1,12,2,26.0095,51.1445,74.2656,57.0612,18.8779,72.0781,8.63554,18.8694,11.0632
58,0.6,1,12,3,50.1926,74.0171,26.8884,18.3125,71.3505,57.3983,18.3023,10.8746,8.38448
59,0.6,1,12,4,82.6312,29.2901,55.4468,79.4703,64.024,18.5887,9.29042,9.28871,18.5791
60,0.6,1,12,5,18.585,18.5871,18.5845,18.5841,18.5866,18.5862,18.5778,18.5803,18.5798
61,0.6,1,13,1,84.9204,72.53,80.3262,85.765,78.5107,73.5171,2.61431,2.61402,5.22833
62,0.6,1,13,2,26.554,53.1857,76.0578,58.1693,20.6792,74.2112,9.55671,20.6708,12.1028
63,0.6,1,13,3,52.1224,75.7956,27.5592,20.0628,73.4028,58.5723,20.0528,11.9112,9.28363
64,0.6,1,13,4,84.9204,29.897,57.7398,82.0505,65.515,20.3631,10.1777,10.1759,20.3537
65,0.6,1,13,5,20.3593,20.3618,20.3587,20.3582,20.3612,20.3607,20.352,20.3551,20.3544
66,0.6,1,14,1,88.5259,75.341,83.3726,89.2549,81.8028,76.1963,3.20052,3.20021,6.40073
67,0.6,1,14,2,27.6444,56.7443,78.8832,59.8708,24.1228,77.719,11.3629,24.1146,14.0721
68,0.6,1,14,3,55.4691,78.6042,28.8907,23.4121,76.7598,60.4144,23.4022,13.8865,11.0447
69,0.6,1,14,4,88.5259,30.9885,61.6821,86.2607,67.7974,23.7565,11.8747,11.8726,23.7473
70,0.6,1,14,5,23.7526,23.7559,23.7517,23.751,23.7552,23.7542,23.745,23.7492,23.7481
71,0.65,1,1,1,14.9125,14.5383,14.9803,15.08,14.6411,14.71,0.0344273,0.0344259,0.0688532
72,0.65,1,1,2,6.15314,8.61154,14.7636,12.076,1.42314,13.4955,0.667123,1.41237,0.745843
73,0.65,1,1,3,8.59719,14.7591,6.1631,1.4096,13.4846,12.0791,1.39843,0.739869,0.659198
74,0.65,1,1,4,14.9125,6.23137,8.68166,13.622,12.2073,1.41639,0.702726,0.702685,1.40541
75,0.65,1,1,5,1.41286,1.41289,1.41287,1.41286,1.41288,1.41289,1.40555,1.40557,1.40557
76,0.65,1,2,1,23.3146,22.3605,23.3996,23.68,22.6537,22.7412,0.0532242,0.0532207,0.106445
77,0.65,1,2,2,10.2212,12.6707,22.8904,19.1166,1.42285,20.5309,0.646902,1.41222,0.766972
78,0.65,1,2,3,12.6484,22.8826,10.236,1.40259,20.5136,19.1207,1.39134,0.757371,0.635743
79,0.65,1,2,4,23.3146,10.4376,12.8777,20.8955,19.4867,1.41273,0.700921,0.700858,1.40178
80,0.65,1,2,5,1.40915,1.40918,1.40916,1.40916,1.40917,1.40918,1.40187,1.40188,1.40188
81,0.65,1,3,1,27.1043,25.7945,27.1711,27.5709,26.2153,26.2844,0.061517,0.0615123,0.123029
82,0.65,1,3,2,12.0278,14.4706,26.4963,22.2414,1.42307,23.6519,0.638872,1.4125,0.776042
83,0.65,1,3,3,14.4447,26.4871,12.0447,1.40003,23.6316,22.2459,1.38874,0.764897,0.626444
84,0.65,1,3,4,27.1043,12.3355,14.7697,24.1758,22.7704,1.41156,0.700344,0.700272,1.40062
85,0.65,1,3,5,1.40797,1.40799,1.40798,1.40798,1.40799,1.408,1.40069,1.40071,1.40071
86,0.65,1,4,1,32.3249,30.4406,32.3328,32.9342,31.0786,31.0869,0.144737,0.144724,0.289461
87,0.65,1,4,2,13.3242,18.0988,31.4062,25.8211,2.8195,28.5791,1.25584,2.80906,1.56174
88,0.65,1,4,3,18.0376,31.3869,13.3674,2.76593,28.5324,25.8347,2.75465,1.5377,1.22628
89,0.65,1,4,4,32.3249,13.7819,18.5528,29.3727,26.6175,2.7927,1.391,1.39083,2.78182
