index,FP,Carregamento,valorFusivel,tipoCurto,I_A_Isolador,I_B_Isolador,I_C_Isolador,I_A1_Isolador,I_B1_Isolador,I_C1_Isolador,I_A_Consumidor,I_B_Consumidor,I_C_Consumidor
48,0.6,1,10,3,34.3878,66.0138,34.1642,10.671,57.4847,57.3512,10.6629,6.55604,4.48523
49,0.6,1,10,4,72.4789,36.3747,38.4623,63.6185,62.3785,10.828,5.41056,5.40919,10.8197
50,0.6,1,10,5,10.8262,10.8262,10.8255,10.8256,10.8263,10.8256,10.8202,10.8209,10.8201
51,0.6,1,11,1,79.8954,68.5844,75.3047,80.4245,74.1695,69.2,1.85533,1.85492,3.71025
52,0.6,1,11,2,37.7185,37.79,71.3944,62.2135,14.1935,62.257,6.07959,14.1854,8.73928
53,0.6,1,11,3,37.3205,71.8126,38.3516,13.7872,62.2599,62.8832,13.7795,8.56357,5.86873
54,0.6,1,11,4,79.8954,41.0465,42.4294,69.9577,69.1276,13.9862,6.99003,6.98813,13.9782
55,0.6,1,11,5,13.9849,13.9849,13.9837,13.984,13.9852,13.9839,13.9787,13.9799,13.9786
56,0.6,1,12,1,82.6312,70.6853,77.4988,83.009,76.6866,71.1266,2.13061,2.13011,4.26072
57,0.6,1,12,2,39.3565,38.9747,73.4477,64.2077,15.7199,63.9746,6.77693,15.7119,9.71552
58,0.6,1,12,3,38.423,73.9183,40.0705,15.2755,63.9657,64.9685,15.2679,9.52712,6.54252
59,0.6,1,12,4,82.6312,42.9349,43.9384,72.2808,71.6751,15.4925,7.74337,7.74122,15.4846
60,0.6,1,12,5,15.4916,15.4915,15.49,15.4904,15.4919,15.4903,15.4852,15.4866,15.485
61,0.6,1,13,1,84.9204,72.4582,79.309,85.1519,78.8106,72.7294,2.4041,2.40353,4.80763
62,0.6,1,13,2,40.8262,40.0094,75.1506,65.8988,17.1991,65.3961,7.46104,17.1912,10.6642
63,0.6,1,13,3,39.3747,75.6711,41.6176,16.7197,65.3731,66.7479,16.7123,10.4658,7.20257
64,0.6,1,13,4,84.9204,44.6144,45.2373,74.2188,73.8406,16.9532,8.47388,8.47147,16.9453
65,0.6,1,13,5,16.9525,16.9524,16.9507,16.9512,16.9529,16.951,16.946,16.9478,16.9458
66,0.6,1,14,1,88.5259,75.2965,82.1139,88.4862,82.199,75.2498,2.94438,2.94364,5.88801
67,0.6,1,14,2,43.3963,41.7804,77.8119,68.6299,20.0247,67.6199,8.78817,20.0169,12.485
68,0.6,1,14,3,40.9786,78.4243,44.3321,19.483,67.562,69.6469,19.4758,12.274,8.47928
69,0.6,1,14,4,88.5259,47.509,47.3935,77.2632,77.334,19.7454,9.87034,9.86744,19.7378
70,0.6,1,14,5,19.7454,19.7452,19.7429,19.7436,19.746,19.7434,19.7386,19.741,19.7383
71,0.65,1,1,1,14.9125,14.5364,14.9777,15.0789,14.6407,14.7071,0.0319838,0.0319822,0.063966
72,0.65,1,1,2,6.84291,8.02044,14.7559,12.4472,1.2341,13.1314,0.575211,1.22468,0.649995
73,0.65,1,1,3,8.01401,14.7634,6.85527,1.22221,13.1322,12.459,1.2126,0.644695,0.568416
74,0.65,1,1,4,14.9125,6.90042,8.11411,13.2769,12.5719,1.22817,0.609339,0.6093,1.21864
75,0.65,1,1,5,1.22511,1.22512,1.22511,1.2251,1.22511,1.22511,1.21875,1.21876,1.21876
76,0.65,1,2,1,23.3146,22.3565,23.3934,23.6772,22.6532,22.7344,0.0494415,0.0494379,0.0988794
77,0.65,1,2,2,10.9191,12.0353,22.8768,19.4961,1.26538,20.1425,0.571997,1.25577,0.685285
78,0.65,1,2,3,12.0253,22.8882,10.939,1.24709,20.1436,19.5146,1.23723,0.676633,0.56212
79,0.65,1,2,4,23.3146,11.1064,12.2801,20.5377,19.8582,1.25624,0.623278,0.623218,1.2465
80,0.65,1,2,5,1.25308,1.25309,1.25308,1.25306,1.25307,1.25308,1.24658,1.24659,1.24658
81,0.65,1,3,1,27.1043,25.7895,27.1628,27.567,26.2148,26.2754,0.0571425,0.0571378,0.11428
82,0.65,1,3,2,12.7385,13.8114,26.4798,22.6284,1.27385,23.2494,0.568586,1.2642,0.697829
83,0.65,1,3,3,13.7999,26.4931,12.7616,1.2529,23.2506,22.6498,1.24297,0.687741,0.557495
84,0.65,1,3,4,27.1043,13.0142,14.1543,23.809,23.1493,1.26338,0.626823,0.626755,1.25358
85,0.65,1,3,5,1.26019,1.26021,1.2602,1.26017,1.26018,1.26019,1.25365,1.25366,1.25366
86,0.65,1,4,1,32.3249,30.4275,32.3098,32.9232,31.078,31.0624,0.134483,0.13447,0.268953
87,0.65,1,4,2,14.8768,16.7263,31.3665,26.6495,2.47127,27.7244,1.08852,2.46189,1.38113
88,0.65,1,4,3,16.6975,31.3975,14.9301,2.424,27.7267,26.6997,2.41435,1.35961,1.06265
89,0.65,1,4,4,32.3249,15.2682,17.2719,28.5967,27.433,2.44761,1.21912,1.21896,2.43807
90,0.65,1,4,5,2.44458,2.4446,2.44457,2.44454,2.44458,2.44456,2.4382,2.43824,2.43821
91,0.65,1,5,1,37.0405,34.5256,36.9075,37.7549,35.43,35.291,0.228132,0.228106,0.456238
92,0.65,1,5,2,16.8698,19.3013,35.7047,30.2561,3.62585,31.6762,1.5778,3.61668,2.05665
93,0.65,1,5,3,19.2508,35.7568,16.958,3.54893,31.6792,30.3406,3.53949,2.02299,1.53462
94,0.65,1,5,4,37.0405,17.3875,20.0742,32.902,31.3351,3.58731,1.78912,1.78885,3.57797
95,0.65,1,5,5,3.58442,3.58445,3.58437,3.58435,3.58443,3.58438,3.57814,3.57823,3.57815
96,0.65,1,6,1,39.9309,36.989,39.7026,40.7159,38.0746,37.8351,0.244579,0.244549,0.489128
97,0.65,1,6,2,18.2198,20.5587,38.3316,32.557,3.648,33.9214,1.57671,3.63877,2.0835
98,0.65,1,6,3,20.5043,38.3875,18.3154,3.5663,33.9244,32.648,3.55681,2.04699,1.53185
99,0.65,1,6,4,39.9309,18.8598,21.4723,35.3807,33.8589,3.60705,1.79897,1.79869,3.59766
100,0.65,1,6,5,3.60413,3.60416,3.60408,3.60406,3.60414,3.60409,3.59782,3.5979,3.59783
101,0.65,1,7,1,51.87491,46.86437,50.97897,52.86285,48.907,47.95565,0.5119513,0.5118723,1.023823
102,0.65,1,7,2,23.50635,26.33473,48.85485,41.57386,5.925488,43.23609,2.5114,5.916471,3.480697
103,0.65,1,7,3,26.21441,48.96955,23.70131,5.769946,43.23836,41.76253,5.760741,3.412639,2.426568
104,0.65,1,7,4,51.87491,24.69218,28.05505,45.99448,44.02393,5.847273,2.919342,2.918767,5.838108
105,0.65,1,7,5,5.844593,5.844628,5.844411,5.844417,5.844634,5.844453,5.838337,5.838554,5.838344
106,0.65,1,8,1,60.66785,53.84413,58.97012,61.68987,56.80981,54.99311,0.7768404,0.7767043,1.553544
107,0.65,1,8,2,27.47952,30.30017,56.26159,48.03769,7.769148,49.70515,3.276519,7.760244,4.639227
108,0.65,1,8,3,30.11027,56.43251,27.77078,7.551131,49.70343,48.32197,7.542129,4.544032,3.160262
